,index,WD,SvenskaAkademin,wdReplace,wdReplaceBy,wdStart,wdEnd,wdOrdinal,chairOrder,SvChair,SvStart,SvEnd,wdEndDate,orderNumber,replacedByWD,newWDChair,replaceWD
95,217,Q1960724,jarta-hans,Q1960724,Q1960724,1826-11-29,1847-04-06 00:00:00+00:00,2,9,9,1826-11-29,1847-04-06,1847-04-06,2,Q6180052,Q96600350,Q3338577
96,130,Q6180052,skogman-carl-david,Q6180052,Q6180052,1848-12-20,1856-02-20 00:00:00+00:00,3,9,9,1848-12-20,1856-02-20,1856-02-20,3,Q3054681,Q96600350,Q1960724
97,162,Q3054681,hamilton-henning,Q3054681,Q3054681,1874-01-01,1881-01-01 00:00:00+00:00,6,,9,1859-01-24,1886-01-15,1881-01-01,4,Q3054681,Q96600350,Q6180052
98,163,Q3054681,hamilton-henning,Q3054681,Q3054681,1859-01-24,1886-01-15 00:00:00+00:00,4,9,9,1859-01-24,1886-01-15,1886-01-15,5,Q6205468,Q96600350,Q3054681
99,135,Q6205468,tegner-esaias-0,Q6205468,Q6205468,1882-12-20,1928-11-21 00:00:00+00:00,5,9,9,1882-12-20,1928-11-21,1928-11-21,6,Q5744398,Q96600350,Q3054681
100,94,Q5744398,friesen-otto-von,Q5744398,Q5744398,1929-12-20,1942-09-10 00:00:00+00:00,6,9,9,1929-12-20,1942-09-10,1942-09-10,7,Q5969561,Q96600350,Q6205468
101,110,Q5969561,lofstedt-einar,Q5969561,Q5969561,1942-12-20,1955-06-10 00:00:00+00:00,7,9,9,1942-12-20,1955-06-10,1955-06-10,8,Q5884856,Q96600350,Q5744398
102,105,Q5884856,johannisson-ture,Q5884856,Q5884856,1955-12-20,1990-12-16 00:00:00+00:00,8,9,9,1955-12-20,1990-12-16,1990-12-16,9,Q437700,Q96600350,Q5969561
103,42,Q437700,lindgren-torgny,Q437700,Q437700,1991-12-20,2017-03-16 00:00:00+00:00,9,9,9,1991-12-20,2017-03-16,2017-03-16,10,Q41327740,Q96600350,Q5884856
104,140,Q41327740,svenungsson-jayne,Q41327740,Q41327740,2017-12-20,2018-11-09 00:00:00+00:00,10,9,9,2017-12-20,2018-11-09,2018-11-09,11,Q4966394,Q96600350,Q437700
105,78,Q4966394,mattson-ellen,Q4966394,Q4966394,2019-12-20,,11,9,9,2019-12-20,,,12,,Q96600350,Q41327740
106,87,Q5583374,botin-anders-af,Q5583374,Q5583374,1786-04-05,1790-09-22 00:00:00+00:00,1,10,10,1786-04-05,1790-09-22,1790-09-22,1,Q2585353,Q96600362,
107,155,Q2585353,zibet-christoffer-bogislaus,Q2585353,Q2585353,1790-12-10,1809-05-16 00:00:00+00:00,2,10,10,1790-12-10,1809-05-16,1809-05-16,2,Q4252338,Q96600362,Q5583374
108,70,Q4252338,lagerbjelke-gustaf,Q4252338,Q4252338,1819-09-25,1837-05-24 00:00:00+00:00,3,10,10,1819-09-25,1837-05-24,1837-05-24,3,Q3658762,Q96600362,Q2585353
109,69,Q3658762,wingard-carl-fredrik-af,Q3658762,Q3658762,1838-05-31,1851-09-19 00:00:00+00:00,4,10,10,1838-05-31,1851-09-19,1851-09-19,4,Q1348997,Q96600362,Q4252338
110,200,Q1348997,reuterdahl-henrik,Q1348997,Q1348997,1852-12-20,1870-06-28 00:00:00+00:00,5,10,10,1852-12-20,1870-06-28,1870-06-28,5,Q5755434,Q96600362,Q3658762
111,96,Q5755434,genberg-paul,Q5755434,Q5755434,1872-06-05,1875-09-29 00:00:00+00:00,6,10,10,1872-06-05,1875-09-29,1875-09-29,6,Q1040670,Q96600362,Q1348997
112,197,Q1040670,snoilsky-carl,Q1040670,Q1040670,1876-12-20,1903-05-19 00:00:00+00:00,7,10,10,1876-12-20,1903-05-19,1903-05-19,7,Q1959642,Q96600362,Q5755434
113,216,Q1959642,hjarne-harald,Q1959642,Q1959642,1903-12-20,1922-01-06 00:00:00+00:00,8,10,10,1903-12-20,1922-01-06,1922-01-06,8,Q325547,Q96600362,Q1040670
114,22,Q325547,book-fredrik,Q325547,Q325547,1922-12-20,1961-12-02 00:00:00+00:00,9,10,10,1922-12-20,1961-12-02,1961-12-02,9,Q3352137,Q96600362,Q1959642
115,167,Q3352137,lonnroth-erik,Q3352137,Q3352137,1962-12-20,2002-03-10 00:00:00+00:00,10,10,10,1962-12-20,2002-03-10,2002-03-10,10,Q347695,Q96600362,Q325547
116,32,Q347695,englund-peter,Q347695,Q347695,2002-12-20,,11,10,10,2002-12-20,,,11,Q347695,Q96600362,Q3352137
117,33,Q347695,englund-peter,Q347695,Q347695,2009-01-01,2015-01-01 00:00:00+00:00,16,,10,2002-12-20,,2015-01-01,12,,Q96600362,Q347695
118,119,Q6080164,rosenstein-nils-von,Q6080164,Q6080164,1786-04-05,1824-08-07 00:00:00+00:00,1,11,11,1786-04-05,1824-08-07,1824-08-07,1,Q6080164,Q96600367,
119,120,Q6080164,rosenstein-nils-von,Q6080164,Q6080164,1786-04-05,1824-08-07 00:00:00+00:00,1,,11,1786-04-05,1824-08-07,1824-08-07,2,Q5711087,Q96600367,Q6080164
120,91,Q5711087,enberg-lars-magnus,Q5711087,Q5711087,1825-02-21,1865-11-20 00:00:00+00:00,2,11,11,1825-02-21,1865-11-20,1865-11-20,3,Q990655,Q96600367,Q6080164
121,195,Q990655,hildebrand-bror-emil,Q990655,Q990655,1866-12-20,1884-08-30 00:00:00+00:00,3,11,11,1866-12-20,1884-08-30,1884-08-30,4,Q990655,Q96600367,Q5711087
122,196,Q990655,hildebrand-bror-emil,Q990655,Q990655,1881-01-01,1883-01-01 00:00:00+00:00,7,,11,1866-12-20,1884-08-30,1883-01-01,5,Q731379,Q96600367,Q990655
123,68,Q731379,odhner-clas-theodor,Q731379,Q731379,1885-12-20,1904-06-11 00:00:00+00:00,4,11,11,1885-12-20,1904-06-11,1904-06-11,6,Q134641,Q96600367,Q990655
124,6,Q134641,karlfeldt-erik-axel,Q134641,Q134641,1913-01-01,1931-01-01 00:00:00+00:00,9,,11,1904-12-20,1931-04-08,1931-01-01,7,Q134641,Q96600367,Q731379
125,7,Q134641,karlfeldt-erik-axel,Q134641,Q134641,1904-12-20,1931-04-08 00:00:00+00:00,5,11,11,1904-12-20,1931-04-08,1931-04-08,8,Q5734962,Q96600367,Q134641
126,93,Q5734962,fogelqvist-torsten,Q5734962,Q5734962,1931-12-20,1941-01-23 00:00:00+00:00,6,11,11,1931-12-20,1941-01-23,1941-01-23,9,Q1777178,Q96600367,Q134641
127,209,Q1777178,ahnlund-nils,Q1777178,Q1777178,1941-12-20,1957-01-11 00:00:00+00:00,7,11,11,1941-12-20,1957-01-11,1957-01-11,10,Q131326,Q96600367,Q5734962
128,4,Q131326,johnson-eyvind,Q131326,Q131326,1957-12-20,1976-08-25 00:00:00+00:00,8,11,11,1957-12-20,1976-08-25,1976-08-25,11,Q1893659,Q96600367,Q1777178
129,212,Q1893659,linde-ulf,Q1893659,Q1893659,1977-12-20,2013-10-12 00:00:00+00:00,9,11,11,1977-12-20,2013-10-12,2013-10-12,12,Q540344,Q96600367,Q131326
130,53,Q540344,ostergren-klas,Q540344,Q540344,2014-12-20,2018-05-03 00:00:00+00:00,10,11,11,2014-12-20,2018-05-03,2018-05-03,13,Q16633253,Q96600367,Q1893659
131,138,Q16633253,malm-mats,Q16633253,Q16633253,2018-12-20,,11,11,11,2018-12-20,,,14,Q16633253,Q96600367,Q540344
132,139,Q16633253,malm-mats,Q16633253,Q16633253,2019-06-01,,19,,11,2018-12-20,,,15,,Q96600367,Q16633253
133,128,Q6169392,schroderheim-fore-adlandet-schroder-elis,Q6169392,Q6169392,1786-04-05,1795-08-30 00:00:00+00:00,1,12,12,1786-04-05,1795-08-30,1795-08-30,1,Q5579332,Q96600377,
134,86,Q5579332,blom-isac,Q5579332,Q5579332,1797-11-25,1826-05-06 00:00:00+00:00,2,12,12,1797-11-25,1826-05-06,1826-05-06,2,Q6244863,Q96600377,Q6169392
135,137,Q6244863,wirsen-gustaf-fredrik,Q6244863,Q6244863,1827-03-26,1827-12-09 00:00:00+00:00,3,12,12,1827-03-26,1827-12-09,1827-12-09,3,Q4349660,Q96600377,Q5579332
136,71,Q4349660,beskow-bernhard-von,Q4349660,Q4349660,1828-11-01,1868-10-17 00:00:00+00:00,4,12,12,1828-11-01,1868-10-17,1868-10-17,4,Q4349660,Q96600377,Q6244863
137,72,Q4349660,beskow-bernhard-von,Q4349660,Q4349660,1834-01-01,1868-01-01 00:00:00+00:00,3,,12,1828-11-01,1868-10-17,1868-01-01,5,Q6191926,Q96600377,Q4349660
138,131,Q6191926,strandberg-carl-gustaf,Q6191926,Q6191926,1872-01-01,1874-01-01 00:00:00+00:00,5,,12,1869-12-20,1874-02-08,1874-01-01,6,Q6191926,Q96600377,Q4349660
