,WikidataID,riksdagenGUID,Source,sourceid,status,WD_Riksdagen,tilltalsnamn,efternamn,parti,fodd_ar,intressent_id,Riksdagen
2473,,,,9e9af5e4-3908-4356-8e46-f872b916363e,Inga uppdrag,Riksdagen_only,Sven,Andersson,S,1917,9e9af5e4-3908-4356-8e46-f872b916363e,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_9e9af5e4-3908-4356-8e46-f872b916363e'>link</a>
2474,,,,354b135b-3a40-4154-b17f-21d1919e2e17,Inga uppdrag,Riksdagen_only,Sven,Andersson,FP,1917,354b135b-3a40-4154-b17f-21d1919e2e17,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_354b135b-3a40-4154-b17f-21d1919e2e17'>link</a>
2518,,,,256059fd-aee6-48f4-9409-a12be47de19b,Inga uppdrag,Riksdagen_only,Rune,Johansson,S,1917,256059fd-aee6-48f4-9409-a12be47de19b,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_256059fd-aee6-48f4-9409-a12be47de19b'>link</a>
2510,,,,ed21ae5f-5204-4f69-a8a8-d12416d03d86,Inga uppdrag,Riksdagen_only,Eric,Holmqvist,S,1917,ed21ae5f-5204-4f69-a8a8-d12416d03d86,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_ed21ae5f-5204-4f69-a8a8-d12416d03d86'>link</a>
2481,,,,4aa14adf-03f2-4214-a858-73881f579145,Inga uppdrag,Riksdagen_only,Britta,Bergström,FP,1917,4aa14adf-03f2-4214-a858-73881f579145,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_4aa14adf-03f2-4214-a858-73881f579145'>link</a>
2497,,,,9c287526-30e3-46dc-9eb7-3cc2280a4ad2,Inga uppdrag,Riksdagen_only,Anders,Gernandt,C,1916,9c287526-30e3-46dc-9eb7-3cc2280a4ad2,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_9c287526-30e3-46dc-9eb7-3cc2280a4ad2'>link</a>
2477,,,,a9b3d62e-7665-47bd-98b0-449545cc6c05,Inga uppdrag,Riksdagen_only,Karl,Bengtsson,FP,1916,a9b3d62e-7665-47bd-98b0-449545cc6c05,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_a9b3d62e-7665-47bd-98b0-449545cc6c05'>link</a>
2520,,,,2e59390f-a1f3-48f1-b600-1822c931c3a0,Inga uppdrag,Riksdagen_only,Sven,Johansson,C,1916,2e59390f-a1f3-48f1-b600-1822c931c3a0,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_2e59390f-a1f3-48f1-b600-1822c931c3a0'>link</a>
2550,,,,dabab604-aefb-48ec-a0d1-3645415e5091,Inga uppdrag,Riksdagen_only,Johan,Olsson,C,1916,dabab604-aefb-48ec-a0d1-3645415e5091,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_dabab604-aefb-48ec-a0d1-3645415e5091'>link</a>
2480,,,,b9fe32c3-84e5-4e25-8e9d-2566927a2212,Inga uppdrag,Riksdagen_only,Per,Bergman,S,1915,b9fe32c3-84e5-4e25-8e9d-2566927a2212,<a href='https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_b9fe32c3-84e5-4e25-8e9d-2566927a2212'>link</a>
