,WikidataID,show,librisid,WD_Litteraturbanken,full_name,authorid,Littbank,LittbankJSON
2718,,True,75knrrnr4p8qqdh,Litterturbanken_only,Johan Leonard Lindquist,LindquistJL,<a href='https://litteraturbanken.se/f%C3%B6rfattare/LindquistJL'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/LindquistJL'>json</a>
2712,,True,rp369nl94jf4vqh,Litterturbanken_only,Olof Lysander,LysanderO,<a href='https://litteraturbanken.se/f%C3%B6rfattare/LysanderO'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/LysanderO'>json</a>
2711,,True,75knr74r43tptld,Litterturbanken_only,Alfred Schön,SchönA,<a href='https://litteraturbanken.se/f%C3%B6rfattare/SchönA'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/SchönA'>json</a>
2710,,True,75kmp3dr4fpghz2,Litterturbanken_only,Claes Johan Emil Aurell,AurellCJE,<a href='https://litteraturbanken.se/f%C3%B6rfattare/AurellCJE'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/AurellCJE'>json</a>
2708,,True,fcrvzffz5t6dw4z,Litterturbanken_only,Lars Vilhelm Löhman,LöhmanLV,<a href='https://litteraturbanken.se/f%C3%B6rfattare/LöhmanLV'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/LöhmanLV'>json</a>
2719,,True,fcrtwh4z454hmtn,Litterturbanken_only,Gustaf Wilhelm Fagerlund,FagerlundGW,<a href='https://litteraturbanken.se/f%C3%B6rfattare/FagerlundGW'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/FagerlundGW'>json</a>
2706,,True,xv8chtlg47bxs5l,Litterturbanken_only,G. W. Antell,AntellGW,<a href='https://litteraturbanken.se/f%C3%B6rfattare/AntellGW'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/AntellGW'>json</a>
2701,,True,31fjn5bm30ktpr2,Litterturbanken_only,Olof Immanuel Fåhræus,FåhræusOI,<a href='https://litteraturbanken.se/f%C3%B6rfattare/FåhræusOI'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/FåhræusOI'>json</a>
2700,,True,zw9cf24h3607k52,Litterturbanken_only,Sara Carolina Gadolin,GadolinSC,<a href='https://litteraturbanken.se/f%C3%B6rfattare/GadolinSC'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/GadolinSC'>json</a>
2697,,True,20dgj3kl1h38p41,Litterturbanken_only,Olof Abraham Ericsson,EricssonOA,<a href='https://litteraturbanken.se/f%C3%B6rfattare/EricssonOA'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/EricssonOA'>json</a>
2678,,True,dbqsmg3x0lj1txf,Litterturbanken_only,E. G. Blomgren,BlomgrenEG,<a href='https://litteraturbanken.se/f%C3%B6rfattare/BlomgrenEG'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/BlomgrenEG'>json</a>
2677,,True,zw9cft5h567l1vj,Litterturbanken_only,Johan August Aurén,AurénJA,<a href='https://litteraturbanken.se/f%C3%B6rfattare/AurénJA'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/AurénJA'>json</a>
2643,,True,fcrvz6kz2ncdfzg,Litterturbanken_only,Carl Pettersson,PetterssonC,<a href='https://litteraturbanken.se/f%C3%B6rfattare/PetterssonC'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/PetterssonC'>json</a>
2653,,True,gdsvz8p012q7xv1,Litterturbanken_only,Emilia Gullbrandssen,GullbrandssenE,<a href='https://litteraturbanken.se/f%C3%B6rfattare/GullbrandssenE'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/GullbrandssenE'>json</a>
2652,,True,pm136hw73jdrp1c,Litterturbanken_only,Maria Peterson,PetersonM,<a href='https://litteraturbanken.se/f%C3%B6rfattare/PetersonM'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/PetersonM'>json</a>
2650,,True,qn258jz84k42lzj,Litterturbanken_only,A. V. Quarnström,QuarnströmAV,<a href='https://litteraturbanken.se/f%C3%B6rfattare/QuarnströmAV'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/QuarnströmAV'>json</a>
2648,,True,75knrn0r5lkqdtx,Litterturbanken_only,C. A. Wiking,WikingCA,<a href='https://litteraturbanken.se/f%C3%B6rfattare/WikingCA'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/WikingCA'>json</a>
2645,,True,qn246t681k7ct76,Litterturbanken_only,Fredrik Theodor Hagberg,HagbergFT,<a href='https://litteraturbanken.se/f%C3%B6rfattare/HagbergFT'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/HagbergFT'>json</a>
2642,,True,rp357wl90p30g02,Litterturbanken_only,Per Adolf Hagström,HagströmPA,<a href='https://litteraturbanken.se/f%C3%B6rfattare/HagströmPA'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/HagströmPA'>json</a>
2640,,True,fcrtwknz0tzkcs8,Litterturbanken_only,Gustaf Hallgrén,HallgrénG,<a href='https://litteraturbanken.se/f%C3%B6rfattare/HallgrénG'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/HallgrénG'>json</a>
2639,,True,vs69d64d4kml9b1,Litterturbanken_only,Johan Wendel,WendelJ,<a href='https://litteraturbanken.se/f%C3%B6rfattare/WendelJ'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/WendelJ'>json</a>
2739,,True,tr58cm5c4cnrxbt,Litterturbanken_only,Gustaf Verner Ambrosius Rahm,RahmGVA,<a href='https://litteraturbanken.se/f%C3%B6rfattare/RahmGVA'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/RahmGVA'>json</a>
2636,,True,dbqsvqqx0wtjwsl,Litterturbanken_only,Anders Peter Idequist,IdequistAP,<a href='https://litteraturbanken.se/f%C3%B6rfattare/IdequistAP'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/IdequistAP'>json</a>
2633,,True,1zcfhz2k5gd4b3v,Litterturbanken_only,Elias Walfrid Dufva,DufvaEW,<a href='https://litteraturbanken.se/f%C3%B6rfattare/DufvaEW'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/DufvaEW'>json</a>
2632,,True,vs69hj3d2wsvnz9,Litterturbanken_only,Albert Cederblad,CederbladA,<a href='https://litteraturbanken.se/f%C3%B6rfattare/CederbladA'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/CederbladA'>json</a>
2656,,True,vs685gtd54m6k9p,Litterturbanken_only,Anders Wilhelm Pereswetoff-Morath,PereswetoffMorathAW,<a href='https://litteraturbanken.se/f%C3%B6rfattare/PereswetoffMorathAW'>link Litteraturbanken</a>,<a href='https://litteraturbanken.se/api/get_author/PereswetoffMorathAW'>json</a>
