SBLnr,SBLlength,titel,Fodd,Dod,Band,Year
6961,55512,Emanuel Rothoff,"Född:1788-07-12 – Eskilstuna församling, Södermanlands län","Död:1832-05-25 – Eskilstuna församling, Södermanlands län","Band 30 (1998-2000), sida 599.",1998-2000
6962,50837,Isaac Rothovius,"Född:1572-11-01 – Angelstads församling, Kronobergs län",Död:1652-02-10 – Finland (i Åbo),"Band 30 (1998-2000), sida 589.",1998-2000
6963,38023,Jonas Rothovius (Rhotovius),"Född:1572-11-01 – Angelstads församling, Kronobergs län","Död:1626-02-28 – Kalmar domkyrkoförsamling, Kalmar län","Band 30 (1998-2000), sida 592.",1998-2000
6964,31922,C Sven Rubarth,"Född:1905-04-05 – Nacka församling, Stockholms län","Död:1996-10-03 – Täby församling (AB-län), Stockholms län","Band 30 (1998-2000), sida 603.",1998-2000
6965,33930,Axel L Rubbestad,"Född:1888-10-02 – Ödeborgs församling, Älvsborgs län","Död:1961-08-06 – Bäcke församling, Älvsborgs län (kbf i Ödeborg)","Band 30 (1998-2000), sida 604.",1998-2000
6966,42023,"Rubenson, släkt",,,"Band 30 (1998-2000), sida 606.",1998-2000
6968,45774,S Moritz Rubenson,"Född:1834-06-19 – Stockholms mosaiska församling, Stockholms län","Död:1906-08-13 – Ronneby församling (Stockholms mosaiska församling, Stockholms län)","Band 30 (1998-2000), sida 610.",1998-2000
6971,37105,S Tryggve S Rubin,"Född:1874-03-01 – Jakobs församling, Stockholms län","Död:1946-07-28 – Blidö församling (Maria Magdalena församling, Stockholms län)","Band 30 (1998-2000), sida 613.",1998-2000
6972,27824,M Christina Ruckman,"Född:1771-02-02 – Uppsala domkyrkoförsamling, Uppsala län","Död:1847-04-17 – Adolf Fredriks församling, Stockholms län","Band 30 (1998-2000), sida 615.",1998-2000
6973,133252,"Rudbeck (Rudbeckius, Rudebeck, von Rudbeck), släkt",,,"Band 30 (1998-2000), sida 617.",1998-2000
6985,66331,Olof Rudbeck,"Född:1660-03-15 – Uppsala domkyrkoförsamling, Uppsala län","Död:1740-03-23 – Uppsala domkyrkoförsamling, Uppsala län","Band 30 (1998-2000), sida 657.",1998-2000
6987,206703,Olof (Olaus) Rudbeck,"Född:1630 – Västerås domkyrkoförsamling, Västmanlands län","Död:1702-09-17 – Uppsala domkyrkoförsamling, Uppsala län","Band 30 (1998-2000), sida 640.",1998-2000
6993,59358,Thure Gustaf Rudbeck,"Född:1714-11-21 – Rasbo församling, Uppsala län","Död:1786-01-08 – Sollentuna församling, Stockholms län","Band 30 (1998-2000), sida 661.",1998-2000
6999,118239,Johannes Rudbeckius,"Född:1581-04-03 – Almby församling, Örebro län","Död:1646-08-08 – Västerås domkyrkoförsamling, Västmanlands län","Band 30 (1998-2000), sida 631.",1998-2000
7002,68726,Erik G Rudberg,"Född:1902-11-17 – Adolf Fredriks församling, Stockholms län","Död:1980-01-02 – Salems församling, Stockholms län","Band 30 (1998-2000), sida 665.",1998-2000
