skblid,wid,publishedDate,article_author_firstname,article_author_lastname,subtitle_sv,subtitle_eng,name_lastname,name_firstname
ToraVegaHolmstrom,Q4954644,2018-03-08,Irja,Bergström,Konstnär,Artist,Holmström,Anna /Tora Vega/ Elisabeth
MaudHusberg,Q4955136,2018-03-08,Jennifer,Vintkvist,"Programledare, programpresentatör","Programme presenter, TV narrator",Husberg,/Maud/
KarinKavli,Q4958397,2018-03-08,Lisbeth,Larsson,"Skådespelare, teaterledare","Actor, theater company director",Kavli,/Karin/ Kristina Margareta
KarinKock,Q4959336,2018-03-08,Kirsti,Niskanen,"Nationalekonom, minister, Statistiska centralbyråns överdirektör","Economist, government minister, director general of Statistiska centralbyrån",Kock,/Karin/
VeravonKrmer,Q4959702,2018-03-08,Birgitta,Ney,"Journalist, författare, översättare","Journalist, author, translator",von Kræmer,/Vera/ Adelaide Sofia
KatarinaKraftAhnlund,Q4959709,2018-03-08,Johan,Kärnfelt,"Teknologie doktor, kärnfysiker, vetenskapsjournalist","Doctor of Technology, nuclear physicist, scientific journalist",Kraft-Ahnlund,Marit Sigrid /Katarina/
BirgittaLilliehook,Q4962201,2018-03-08,Ellinor,Melander,"Tecknare, journalist, serieskapare","Drawer, journalist, comic-strip artist",Lilliehöök,Birgit (/Birgitta/)
HeddaHansdotterLindahl,Q4962326,2018-03-08,Ulrika,Lagerlöf Nilsson,"Politiker, minister","Politician, government minister",Lindahl,/Hedda/ Hansdotter
MathildaMalling,Q4965144,2018-03-08,Birgitta,Ney,Författare,Author,Malling,Ingrid /Mathilda/
LisaMattson,Q4966432,2018-03-08,Louise,Lönnroth,"Journalist, politiker, riksdagsledamot","Journalist, politician, member of parliament",Mattson,/Lisa/
RuthMilles,Q4967393,2018-03-08,Irja,Bergström,"Konstnär, skulptör","Artist, sculptor",Milles,/Ruth/ Anna Maria
UllaMolin,Q4967876,2018-03-08,Liselotte,Fritz,"Trädgårdsarkitekt, journalist, redaktör","Landscape architect, journalist, editor",Molin,/Ulla/ Ingegärd
VeraNilsson,Q4969725,2018-03-08,Birgitta,Flensburg,"Konstnär, fredsaktivist","Artist, peace activist",Nilsson,/Vera/ Amalia Märta
HjordisNordinTengbom,Q4970058,2018-03-08,Irja,Bergström,"Konstnär, skulptör","Artist, sculptor",Nordin-Tengbom,/Hjördis/ Fredrika
HelenaAugustaNyblom,Q4970525,2018-03-08,Charlott,Neuhauser,"Författare, kulturskribent, pianist","Author, cultural writer, pianist",Nyblom,/Helena/ Augusta
ThorborgRappe,Q4974085,2018-03-08,Owe,Rören,"Lärare, skolhemsgrundare, pionjär inom specialpedagogiken","Teacher, school founder, pioneering caregiver to the disabled",Rappe,/Thorborg/ Ragnhild
HildaSachs,Q4976415,2018-03-08,Ellinor,Melander,"Journalist, rösträttskvinna","Journalist, suffragette",Sachs,/Hilda/ Gustafva
HildurSandberg,Q4976796,2018-03-08,Lisbeth,Larsson,"Medicinstudent, studentpolitiker","Medical student, student politician",Sandberg,/Hildur/
VeraSandberg,Q4976815,2018-03-08,Henrik,Björck,"Ingenjör, kemist, pionjär som kvinnlig student på Chalmers","Engineer, chemist, pioneering female student at Chalmers",Sandberg,/Vera/ Helfrid Victoria
SigridEskilsdotterBaner,Q4978554,2018-03-08,Dick,Harrison,Politiskt inflytelserik adelsdam,Politically influential noblewoman,Eskilsdotter (Banér),/Sigrid/
WilhelminaSkogh,Q4979125,2018-03-08,Bodil,Hasselgren,"Företagare, pionjär inom hotell- och turistbranschen","Entrepreneur, pioneering hotel- and tourist industry magnate",Skogh,Lorentina /Wilhelmina/
HertaSvenson,Q4981512,2018-03-08,Tobias,Karlsson,"Personalkonsulent, folkbildare","Personnel consultant, people's educator",Svenson,/Herta/ Elisabet
