,item,itemLabel,NobelAPI,id,name_en,name_se,link,gender,awardYear,category,sameas,WD_Nobel,linkjson,linkhtml,wd
38,http://www.wikidata.org/entity/Q47480,Paul Dirac,40,40,Paul A.M. Dirac,Paul A.M. Dirac,https://api.nobelprize.org/2/laureate/40,male,1933,Physics,"['https://www.wikidata.org/wiki/Q47480', 'https://en.wikipedia.org/wiki/Paul_Dirac']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=40'>json</a>,<a href='https://www.nobelprize.org/laureate/40'>html</a>,<a href='http://www.wikidata.org/entity/Q47480'>Wikidata</a>
39,http://www.wikidata.org/entity/Q80884,James Chadwick,41,41,James Chadwick,James Chadwick,https://api.nobelprize.org/2/laureate/41,male,1935,Physics,"['https://www.wikidata.org/wiki/Q80884', 'https://en.wikipedia.org/wiki/James_Chadwick']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=41'>json</a>,<a href='https://www.nobelprize.org/laureate/41'>html</a>,<a href='http://www.wikidata.org/entity/Q80884'>Wikidata</a>
40,http://www.wikidata.org/entity/Q78520,Victor Francis Hess,42,42,Victor F. Hess,Victor F. Hess,https://api.nobelprize.org/2/laureate/42,male,1936,Physics,"['https://www.wikidata.org/wiki/Q78520', 'https://en.wikipedia.org/wiki/Victor_Francis_Hess']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=42'>json</a>,<a href='https://www.nobelprize.org/laureate/42'>html</a>,<a href='http://www.wikidata.org/entity/Q78520'>Wikidata</a>
41,http://www.wikidata.org/entity/Q169366,Carl David Anderson,43,43,Carl D. Anderson,Carl D. Anderson,https://api.nobelprize.org/2/laureate/43,male,1936,Physics,"['https://www.wikidata.org/wiki/Q169366', 'https://en.wikipedia.org/wiki/Carl_David_Anderson']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=43'>json</a>,<a href='https://www.nobelprize.org/laureate/43'>html</a>,<a href='http://www.wikidata.org/entity/Q169366'>Wikidata</a>
42,http://www.wikidata.org/entity/Q133222,Clinton Davisson,44,44,Clinton Davisson,Clinton Davisson,https://api.nobelprize.org/2/laureate/44,male,1937,Physics,"['https://www.wikidata.org/wiki/Q133222', 'https://en.wikipedia.org/wiki/Clinton_Davisson']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=44'>json</a>,<a href='https://www.nobelprize.org/laureate/44'>html</a>,<a href='http://www.wikidata.org/entity/Q133222'>Wikidata</a>
43,http://www.wikidata.org/entity/Q133846,George Paget Thomson,45,45,George Paget Thomson,George Paget Thomson,https://api.nobelprize.org/2/laureate/45,male,1937,Physics,"['https://www.wikidata.org/wiki/Q133846', 'https://en.wikipedia.org/wiki/George_Paget_Thomson']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=45'>json</a>,<a href='https://www.nobelprize.org/laureate/45'>html</a>,<a href='http://www.wikidata.org/entity/Q133846'>Wikidata</a>
44,http://www.wikidata.org/entity/Q8753,Enrico Fermi,46,46,Enrico Fermi,Enrico Fermi,https://api.nobelprize.org/2/laureate/46,male,1938,Physics,"['https://www.wikidata.org/wiki/Q8753', 'https://en.wikipedia.org/wiki/Enrico_Fermi']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=46'>json</a>,<a href='https://www.nobelprize.org/laureate/46'>html</a>,<a href='http://www.wikidata.org/entity/Q8753'>Wikidata</a>
45,http://www.wikidata.org/entity/Q169577,Ernest Lawrence,47,47,Ernest Lawrence,Ernest Lawrence,https://api.nobelprize.org/2/laureate/47,male,1939,Physics,"['https://www.wikidata.org/wiki/Q169577', 'https://en.wikipedia.org/wiki/Ernest_Lawrence']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=47'>json</a>,<a href='https://www.nobelprize.org/laureate/47'>html</a>,<a href='http://www.wikidata.org/entity/Q169577'>Wikidata</a>
46,http://www.wikidata.org/entity/Q57072,Otto Stern,48,48,Otto Stern,Otto Stern,https://api.nobelprize.org/2/laureate/48,male,1943,Physics,"['https://www.wikidata.org/wiki/Q57072', 'https://en.wikipedia.org/wiki/Otto_Stern']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=48'>json</a>,<a href='https://www.nobelprize.org/laureate/48'>html</a>,<a href='http://www.wikidata.org/entity/Q57072'>Wikidata</a>
47,http://www.wikidata.org/entity/Q165969,Isidor Isaac Rabi,49,49,Isidor Isaac Rabi,Isidor Isaac Rabi,https://api.nobelprize.org/2/laureate/49,male,1944,Physics,"['https://www.wikidata.org/wiki/Q165969', 'https://en.wikipedia.org/wiki/Isidor_Isaac_Rabi']",both,<a href='https://api.nobelprize.org/v1/laureate.json?id=49'>json</a>,<a href='https://www.nobelprize.org/laureate/49'>html</a>,<a href='http://www.wikidata.org/entity/Q165969'>Wikidata</a>
