,WD,arkid,nameAuth,urlAuth,Auktoriserad,Datum,Auktoritetspost,WD_Arken
3781,,,"Carlander, Hilda","Carlander,-Hilda","Carlander, Hilda",1847-1914,ediffah:kb:515759:1350413564,Arken_only
3782,,,"Carlborg, Uno","Carlborg,-Uno","Carlborg, Uno",1895-1947,ediffah:kb:458656:1457102489,Arken_only
3784,,,Carlheim-Gyllensköld (släkt),Carlheim-Gyllensköld-släkt,Carlheim-Gyllensköld (släkt),,ediffah:kb:991231:1478702404,Arken_only
3785,,,"Carlheim-Gyllensköld, Carl","Carlheim-Gyllensköld,-Carl","Carlheim-Gyllensköld, Carl",1853-1885,https://libris.kb.se/dbqt34lx400z5lg#it,Arken_only
3786,,,"Carling, Hilda","Carling,-Hilda","Carling, Hilda",1865-1960,ediffah:kb:970453:1253704765,Arken_only
3788,,,"Carlson, Harold","Carlson,-Harold","Carlson, Harold",1889-,ediffah:kb:581439:1366972629,Arken_only
3792,,,"Carlsson, Maj Elisabet","Carlsson,-Maj-Elisabet","Carlsson, Maj Elisabet",1914-2002,ediffah:kb:129655:1163693913,Arken_only
3793,,,"Carlsson, Sven","Carlsson,-Sven","Carlsson, Sven",1911-2000,ediffah:kb:129655:1163693913,Arken_only
3800,,,"Cassel, Johanna","Cassel,-Johanna","Cassel, Johanna",1870-1936,ediffah:kb:552951:1398350905,Arken_only
3804,,,"Cederborgh, Carolina Christina","Cederborgh,-Carolina-Christina","Cederborgh, Carolina Christina",1786-1870,https://libris.kb.se/g0s1r2ps04gx79h#it,Arken_only
3805,,,"Cedercrantz, Ulrika Vilhelmina","Cedercrantz,-Ulrika-Vilhelmina","Cedercrantz, Ulrika Vilhelmina",1743-1814,ediffah:kb:212478:1435920950,Arken_only
3807,,,"Cedergren, Ester","Stuart,-Ester-Maria-Haraldsson","Cedergren, Ester",1896-1989,ediffah:kb:391147:1138103409,Arken_only
3809,,,"Cederstråle, Carl Fredrik","Cederstråle,-Carl-Fredrik","Cederstråle, Carl Fredrik",1720-,ediffah:kb:864231:1136968587,Arken_only
3810,,,Centrum för lättläst,stiftelsen-centrum-for-lattlast,Centrum för lättläst,,https://libris.kb.se/sq464f5b39vbnrz#it,Arken_only
3819,,,"Claëson, Signhild","Claëson,-Signhild","Claëson, Signhild",,ediffah:kb:1015550:1136967979,Arken_only
3832,,,"Cronholm, Börje",cronholm-borje,"Cronholm, Börje",1913-1983,http://libris.kb.se/bib/629274,Arken_only
3834,,,Curman (släkt),Släkten-Curman,Curman (släkt),,ediffah:kb:843775:1485169275,Arken_only
3836,,,"Cyrillus, Erika",cyrillus-erika,"Cyrillus, Erika",1962-,https://libris.kb.se/wt79bz6f4w3ztqn#it,Arken_only
3839,,,Dagens Industri,Dagens-Industri,Dagens Industri,,https://libris.kb.se/sq464gzb0l5c3rg#it,Arken_only
3840,,,Dagens Nyheter,Dagens-Nyheter,Dagens Nyheter,,https://libris.kb.se/tr575h0c2hgf7hx#it,Arken_only
3842,,,Dagligt Allehanda,dagligt-allehanda,Dagligt Allehanda,,https://libris.kb.se/b8nqtdtv5lznzdr#it,Arken_only
3843,,,"Dahl, Iwan Wilhelm","Dahl,-Iwan-Wilhelm","Dahl, Iwan Wilhelm",1916-1985,ediffah:kb:775167:1221739081,Arken_only
3844,,,"Dahl, Staffan",dahl-staffan,"Dahl, Staffan",1919-2009,http://libris.kb.se/resource/auth/218408,Arken_only
3846,,,"Dahlberg, Ivar","Dahlberg,-Ivar","Dahlberg, Ivar",1890-1959,https://libris.kb.se/tr57bwtc4jhlsmj#it,Arken_only
3849,,,"Dahlbäck, Kerstin Gertrud Elisabeth","Dahlbäck,-Kerstin-Gertrud-Elisabeth","Dahlbäck, Kerstin Gertrud Elisabeth",1940-,ediffah:kb:126335:1455183154,Arken_only
3850,,,"Dahlbäck, Maj","Dahlbäck,-Maj","Dahlbäck, Maj",1918-2004,https://libris.kb.se/c9prv7sw0lmb2xz#it,Arken_only
3851,,,Dahlgren (släkt : Värmland),Dahlgren-släkt-:-Värmland,Dahlgren (släkt : Värmland),,http://libris.kb.se/resource/bib/17260723,Arken_only
